student_id,age,gender,major,monthly_income,category,amount,necessity,payment_type,date
0,19,Non-binary,Psychology,958,food,296,Yes,Card,2026-01-01
1,24,Female,Economics,1006,food,365,Yes,UPI,2026-01-02
2,24,Non-binary,Economics,734,food,220,Yes,Card,2026-01-03
3,23,Female,Computer Science,617,food,289,Yes,UPI,2026-01-04
4,20,Female,Computer Science,810,food,372,Yes,Card,2026-01-05
5,25,Non-binary,Computer Science,523,food,386,Yes,UPI,2026-01-06
6,23,Female,Engineering,1354,food,398,Yes,Card,2026-01-07
7,23,Female,Economics,631,food,269,Yes,UPI,2026-01-08
8,22,Non-binary,Computer Science,1402,food,354,Yes,Card,2026-01-09
9,18,Female,Computer Science,1423,food,249,Yes,UPI,2026-01-10
10,23,Male,Biology,762,food,262,Yes,Card,2026-01-11
11,25,Male,Engineering,1068,food,243,Yes,UPI,2026-01-12
12,21,Male,Economics,719,food,280,Yes,Card,2026-01-13
13,19,Female,Biology,1176,food,234,Yes,UPI,2026-01-14
14,24,Non-binary,Economics,1496,food,151,Yes,Card,2026-01-15
15,22,Non-binary,Computer Science,1227,food,328,Yes,UPI,2026-01-16
16,23,Female,Psychology,1419,food,361,Yes,Card,2026-01-17
17,21,Female,Computer Science,1454,food,357,Yes,UPI,2026-01-18
18,19,Female,Psychology,1487,food,292,Yes,Card,2026-01-19
19,20,Female,Engineering,1157,food,196,Yes,UPI,2026-01-20
20,19,Male,Psychology,1180,food,254,Yes,Card,2026-01-21
21,24,Male,Computer Science,516,food,286,Yes,UPI,2026-01-22
22,18,Non-binary,Biology,1225,food,159,Yes,Card,2026-01-23
23,24,Non-binary,Economics,582,food,348,Yes,UPI,2026-01-24
24,19,Female,Economics,1062,food,238,Yes,Card,2026-01-25
25,25,Female,Biology,1054,food,400,Yes,UPI,2026-01-26
26,20,Male,Economics,667,food,173,Yes,Card,2026-01-27
27,20,Female,Psychology,796,food,291,Yes,UPI,2026-01-28
28,24,Non-binary,Psychology,905,food,163,Yes,Card,2026-01-01
29,23,Non-binary,Engineering,531,food,394,Yes,UPI,2026-01-02
30,23,Non-binary,Economics,1426,food,296,Yes,Card,2026-01-03
31,23,Male,Psychology,1465,food,113,Yes,UPI,2026-01-04
32,24,Non-binary,Computer Science,522,food,169,Yes,Card,2026-01-05
33,25,Female,Economics,1338,food,325,Yes,UPI,2026-01-06
34,23,Male,Biology,1363,food,185,Yes,Card,2026-01-07
35,21,Male,Biology,1328,food,254,Yes,UPI,2026-01-08
36,22,Male,Engineering,1350,food,372,Yes,Card,2026-01-09
37,23,Non-binary,Computer Science,1309,food,178,Yes,UPI,2026-01-10
38,21,Female,Biology,965,food,249,Yes,Card,2026-01-11
39,20,Female,Engineering,600,food,309,Yes,UPI,2026-01-12
40,24,Female,Engineering,605,food,165,Yes,Card,2026-01-13
41,25,Male,Economics,804,food,289,Yes,UPI,2026-01-14
42,23,Female,Economics,1274,food,137,Yes,Card,2026-01-15
43,23,Male,Psychology,509,food,391,Yes,UPI,2026-01-16
44,23,Female,Economics,1285,food,253,Yes,Card,2026-01-17
45,18,Male,Computer Science,929,food,204,Yes,UPI,2026-01-18
46,25,Non-binary,Psychology,1163,food,261,Yes,Card,2026-01-19
47,19,Male,Psychology,1195,food,167,Yes,UPI,2026-01-20
48,25,Male,Psychology,1036,food,122,Yes,Card,2026-01-21
49,24,Female,Economics,588,food,163,Yes,UPI,2026-01-22
50,20,Female,Engineering,1377,food,355,Yes,Card,2026-01-23
51,21,Non-binary,Economics,1451,food,140,Yes,UPI,2026-01-24
52,19,Male,Computer Science,669,food,193,Yes,Card,2026-01-25
53,18,Male,Psychology,1294,food,115,Yes,UPI,2026-01-26
54,24,Non-binary,Engineering,941,food,372,Yes,Card,2026-01-27
55,22,Female,Engineering,1131,food,339,Yes,UPI,2026-01-28
56,24,Non-binary,Computer Science,854,food,223,Yes,Card,2026-01-01
57,20,Male,Economics,1158,food,216,Yes,UPI,2026-01-02
58,25,Non-binary,Biology,668,food,377,Yes,Card,2026-01-03
59,20,Female,Biology,695,food,304,Yes,UPI,2026-01-04
60,20,Male,Engineering,1375,food,132,Yes,Card,2026-01-05
61,23,Female,Engineering,1084,food,230,Yes,UPI,2026-01-06
62,18,Female,Biology,733,food,298,Yes,Card,2026-01-07
63,20,Non-binary,Economics,1061,food,370,Yes,UPI,2026-01-08
64,19,Female,Computer Science,1352,food,144,Yes,Card,2026-01-09
65,19,Male,Biology,1092,food,150,Yes,UPI,2026-01-10
66,24,Male,Economics,963,food,260,Yes,Card,2026-01-11
67,21,Female,Engineering,1204,food,283,Yes,UPI,2026-01-12
68,23,Male,Engineering,1184,food,115,Yes,Card,2026-01-13
69,22,Male,Economics,562,food,306,Yes,UPI,2026-01-14
70,19,Male,Economics,1218,food,234,Yes,Card,2026-01-15
71,21,Non-binary,Computer Science,1235,food,390,Yes,UPI,2026-01-16
72,23,Non-binary,Economics,1424,food,328,Yes,Card,2026-01-17
73,22,Female,Biology,1176,food,305,Yes,UPI,2026-01-18
74,25,Female,Engineering,1334,food,180,Yes,Card,2026-01-19
75,19,Female,Computer Science,1442,food,153,Yes,UPI,2026-01-20
76,22,Male,Computer Science,983,food,159,Yes,Card,2026-01-21
77,24,Female,Computer Science,914,food,149,Yes,UPI,2026-01-22
78,22,Non-binary,Economics,898,food,175,Yes,Card,2026-01-23
79,23,Non-binary,Economics,1164,food,331,Yes,UPI,2026-01-24
80,18,Female,Biology,1484,food,299,Yes,Card,2026-01-25
81,19,Female,Biology,1127,food,385,Yes,UPI,2026-01-26
82,24,Non-binary,Biology,1105,food,235,Yes,Card,2026-01-27
83,19,Male,Computer Science,1351,food,186,Yes,UPI,2026-01-28
84,22,Female,Biology,930,food,349,Yes,Card,2026-01-01
85,25,Non-binary,Computer Science,1346,food,376,Yes,UPI,2026-01-02
86,25,Non-binary,Computer Science,1240,food,315,Yes,Card,2026-01-03
87,25,Female,Computer Science,727,food,269,Yes,UPI,2026-01-04
88,20,Female,Economics,622,food,234,Yes,Card,2026-01-05
89,23,Male,Economics,800,food,144,Yes,UPI,2026-01-06
90,18,Non-binary,Psychology,1199,food,260,Yes,Card,2026-01-07
91,19,Male,Economics,1006,food,357,Yes,UPI,2026-01-08
92,23,Non-binary,Economics,1295,food,397,Yes,Card,2026-01-09
93,18,Male,Economics,1222,food,127,Yes,UPI,2026-01-10
94,18,Female,Computer Science,1384,food,237,Yes,Card,2026-01-11
